iter	Passed	Remaining
0	2	15701
1	4	15505
2	5	13617
3	6	12668
4	8	12583
5	9	11508
6	10	11437
7	12	11614
8	14	11764
9	15	11843
10	17	11997
11	19	12004
12	20	11999
13	22	12007
14	24	11978
15	25	11921
16	26	11869
17	28	11890
18	30	11928
19	31	11951
20	33	11818
21	34	11814
22	36	11776
23	37	11777
24	39	11756
25	40	11764
26	42	11738
27	44	11757
28	45	11733
29	47	11734
30	48	11714
31	50	11691
32	51	11665
33	53	11662
34	54	11635
35	56	11616
36	57	11634
37	59	11629
38	60	11612
39	62	11593
40	63	11616
41	65	11617
42	67	11633
43	68	11578
44	69	11513
45	70	11503
46	72	11530
47	74	11558
48	76	11591
49	77	11593
50	79	11616
51	81	11623
52	82	11610
53	84	11608
54	85	11525
55	86	11517
56	88	11516
57	89	11502
58	91	11496
59	92	11487
60	94	11471
61	95	11466
62	97	11457
63	98	11454
64	100	11450
65	101	11464
66	103	11469
67	104	11409
68	106	11424
69	107	11420
70	109	11417
71	110	11426
72	112	11438
73	113	11431
74	115	11428
75	117	11444
76	118	11442
77	120	11439
78	121	11450
79	123	11445
80	124	11439
81	126	11445
82	128	11448
83	129	11464
84	131	11470
85	133	11488
86	134	11485
87	136	11478
88	137	11486
89	139	11484
90	141	11479
91	141	11427
92	143	11419
93	144	11418
94	146	11440
95	148	11478
96	150	11521
97	152	11521
98	154	11516
99	155	11518
100	157	11525
101	158	11490
102	159	11483
103	161	11502
104	163	11503
105	164	11445
106	165	11442
107	167	11446
108	168	11446
109	170	11438
110	171	11437
111	173	11438
112	175	11444
113	177	11493
114	179	11507
115	180	11519
116	182	11528
117	184	11547
118	186	11544
119	187	11540
120	189	11535
121	190	11534
122	192	11563
123	194	11573
124	196	11586
125	198	11598
126	199	11609
127	201	11618
128	203	11622
129	204	11619
130	206	11624
131	208	11634
132	210	11640
133	211	11642
134	213	11647
135	215	11647
136	216	11647
137	218	11656
138	220	11670
139	223	11735
140	230	12054
141	233	12107
142	236	12189
143	239	12238
144	242	12277
145	266	13427
146	269	13461
147	273	13580
148	276	13620
149	278	13652
150	293	14280
151	296	14317
152	298	14322
153	300	14333
154	302	14338
155	304	14335
156	306	14332
157	308	14330
158	310	14348
159	313	14402
160	316	14415
161	318	14443
162	321	14451
163	323	14459
164	325	14479
165	327	14482
166	330	14497
167	332	14497
168	334	14491
169	336	14489
170	338	14496
171	340	14491
172	341	14482
173	343	14482
174	345	14475
175	347	14476
176	349	14473
177	351	14463
178	353	14451
179	355	14440
180	357	14439
181	358	14430
182	360	14425
183	362	14428
184	364	14422
185	366	14403
186	367	14369
187	369	14365
188	371	14361
189	373	14354
190	374	14344
191	376	14327
192	378	14326
193	380	14322
194	382	14313
195	383	14304
196	385	14308
197	387	14305
198	389	14303
199	391	14296
200	393	14289
201	395	14290
202	397	14283
203	399	14274
204	400	14269
205	402	14267
206	404	14252
207	406	14241
208	408	14238
209	410	14232
210	411	14227
211	413	14218
212	415	14210
213	417	14203
214	418	14193
215	420	14194
216	422	14182
217	424	14178
218	426	14174
219	428	14181
220	430	14181
221	432	14180
222	434	14175
223	436	14166
224	437	14161
225	439	14154
226	441	14145
227	443	14147
228	445	14142
229	447	14133
230	449	14129
231	450	14123
232	452	14113
233	454	14102
234	455	14094
235	457	14089
236	459	14091
237	461	14087
238	463	14081
239	465	14082
240	467	14074
241	469	14066
242	470	14058
243	472	14055
244	475	14067
245	476	14062
246	478	14061
247	480	14056
248	482	14051
249	484	14043
250	485	14034
251	487	14034
252	489	14028
253	491	14021
254	493	14018
255	495	14011
256	496	14005
257	498	14001
258	500	13995
259	502	13987
260	504	13983
261	506	13980
262	507	13974
263	509	13968
264	511	13965
265	513	13957
266	515	13951
267	516	13944
268	518	13942
269	520	13939
270	522	13936
271	524	13934
272	526	13927
273	527	13923
274	529	13918
275	531	13913
276	533	13907
277	535	13902
278	537	13901
279	538	13896
280	540	13892
281	542	13885
282	544	13875
283	545	13869
284	547	13864
285	549	13858
286	551	13850
287	553	13853
288	555	13851
289	556	13843
290	558	13838
291	560	13830
292	562	13833
293	564	13841
294	566	13841
295	568	13847
296	570	13841
297	572	13837
298	574	13832
299	576	13826
300	577	13821
301	579	13823
302	581	13817
303	583	13814
304	585	13814
305	587	13819
306	589	13819
307	591	13821
308	593	13818
309	595	13812
310	597	13810
311	599	13813
312	601	13814
313	603	13811
314	605	13803
315	607	13802
316	609	13805
317	611	13803
318	613	13800
319	615	13799
320	616	13797
321	618	13793
322	620	13790
323	622	13792
324	624	13790
325	626	13791
326	628	13789
327	630	13783
328	632	13780
329	634	13780
330	636	13777
331	638	13776
332	639	13771
333	641	13768
334	643	13766
335	645	13762
336	647	13756
337	649	13752
338	650	13748
339	652	13740
340	654	13734
341	656	13736
342	658	13735
343	660	13732
344	662	13731
345	664	13731
346	666	13734
347	668	13729
348	669	13723
349	671	13719
350	673	13713
351	675	13707
352	676	13701
353	678	13703
354	681	13712
355	683	13710
356	685	13707
357	687	13707
358	688	13705
359	690	13704
360	693	13705
361	695	13707
362	697	13706
363	699	13703
364	701	13706
365	702	13700
366	704	13696
367	706	13696
368	708	13694
369	710	13691
370	712	13693
371	714	13686
372	716	13682
373	718	13683
374	720	13683
375	721	13679
376	724	13685
377	726	13683
378	728	13684
379	730	13683
380	732	13680
381	734	13683
382	736	13679
383	738	13679
384	740	13682
385	742	13680
386	744	13678
387	745	13673
388	747	13670
389	749	13668
390	751	13665
391	753	13668
392	755	13667
393	757	13663
394	759	13658
395	761	13653
396	762	13650
397	764	13646
398	766	13645
